<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(4, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(3, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(2, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Left, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 1), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 2), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Up, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Nothing, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Right, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Right, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Right, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Right, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Right, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Right, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Right, Nothing)>
<(1, 0, 3), (4, 0, 16), , [0, 0, 0], (Right, Nothing)>
